Reaction	In-Pathway
RXN-21128	PWY-8117
RXN-9550	PWY-5366 // PWY-6282
RXN4FS-2	PWY-6825 // PWY4FS-4 // PWY4FS-3
RXN-7755	PWY-5105
RXN-18643	
RXN-12413	
RXN-16965	
RXN-19216	PWY-7951
2-ENOATE-REDUCTASE-RXN	
RXN-11709	PWY-6626
R343-RXN	PWY-7962 // RXN-19339
GUANOSINE-DIPHOSPHATASE-RXN	RXN-14201
RXN-14216	RXN-14198
RXN-8541	PWY-5425
RXN0-7080	
RXN-18251	PWY-7831
RXN-16612	
1.10.99.2-RXN	
DCTP-PYROPHOSPHATASE-RXN	PWY-7206
RXN-24547	
RXN-10971	
RXN-12626	PWY-6902
RXN-8776	PWY-8331 // PWY3O-6 // PWY-5519
RXN-15948	
RXN-15842	
PNKIN-RXN	PWY-7282 // PLPSAL-PWY // PWY-7204
R464-RXN	PWY-5726
RXN-14605	RXN-14617 // RXN-14599
RXN-13466	PWY-7057
RXN-13342	PWY-7040
RXN-14626	
ARGININE-KINASE-RXN	
RXN-19073	PWY-7931
RXN1G-915	PWYG-321
RXN-21298	
ARGININE-2-MONOOXYGENASE-RXN	ARGDEG-V-PWY
RXN-16583	PWY-7660
RXN-23107	PWY-7100
RXN-17347	PWY-7748
ACETYLORNDEACET-RXN	GLUTORN-PWY
RXN-16929	
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	PWY-8346 // PWY-4341 // PWY-6549 // PWY-6964
RXN-8553	PWY-5733
RXN-9597	
RXN-16823	
2.1.1.64-RXN	PWY-5856 // PWY-5871
RXN-18038	PWY-7817
RXN-20420	PWY-8044
RXN-13596	PWY-7090
VALINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN18C3-8	PWY18C3-3
RXN-24246	RXN-24232
RXN-11346	PWY-6470
RXN0-5216	PWY0-1300
AKPTHIOL-RXN	PWY-6344
RXN-19879	PWY-8013
RXN-11181	PWY-6420
THYMIDYLATE-5-PHOSPHATASE-RXN	
RXN-8891	PWY-5789 // PWY-5677 // PWY-7854
RXN-12368	PWY-6829
RXN-23257	
RXN-18418	PWY-7760 // RXN-18419
RXN6666-5	PWY-7431 // PWY6666-2
RXN-16491	PWY-7648
1.1.1.260-RXN	
RXN-9414	RXN-15253
DIOHBUTANONEPSYN-RXN	PWY-6168 // PWY-6167 // RIBOSYN2-PWY
RXN1G-4	PWY1G-0
RXN-9876	PWY-6099
RXN3O-178	PWY-6075
RXN-8565	PWY-6451 // PWY-5423
RXN-17409	PWY-7755
RXN-19512	PWY-7988
ASPARTATE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN-13112	
RXN-22267	
RXN-9459	
RXN-21666	PWY-8174
4.1.3.26-RXN	PWY-6672
RXN-19186	PWY-7948
RXN-12046	PWY-6688
RXN-13104	PWY-6998
RXN-22463	PWY1R65-1 // LIPA-CORESYN-PWY
2.3.1.42-RXN	PWY-7782
RXN-15732	PWY-6148
RXN-20266	PWY-8035
RXN185E-59	PWY185E-7
PHOSPHATIDYLCHOLINE-12-MONOOXYGENASE-RXN	PWY-7618
RXN-8564	
RXN-22958	
AMMONIA-KINASE-RXN	
RXN-20967	PWY-6036
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	PWY-5279
RXN-20507	
RXN-20690	
RXN-7751	PWY-5103
RXN-18385	
RXN-12392	
THIAZOLSYN2-RXN	PWY-6892 // PWY-6891
RXN-10079	PWY-6184
RXN-18720	
FLAVONOL-3-O-GLUCOSYLTRANSFERASE-RXN	
RXN-21804	RXN-21811 // RXN-5423
4.2.3.16-RXN	PWY-6436 // PWY-3041 // PWY-6445 // PWY-3061 // PWY-5928 // PWY-5423
GLYCDEH-RXN	GLYCEROLMETAB-PWY // PWY-6131
RXN-17413	
TANNASE-RXN	
RXN0-7010	
PYRIMSYN3-RXN	PWY-7357 // PWY-7282 // PWY-6890 // PWY-7356 // PWY-6910
RXN-11680	PWY-5353 // PWY-6603
RXN-23812	
RXN-15269	
RXN-22693	PWY-8323
RXN-23305	
RXN-5781	PWY-3561 // PWY-6804 // PWY4FS-2 // PWY3O-450
RXN-18314	
RXN-18677	
RXN-23739	
RXN-13204	PWY-7015
RXN-13838	PWY-7150
RXN8J2-142	PWY8J2-23
RXN-17688	PWY-7053
RXN-18502	
RXN-16256	PWY-7615
1.1.1.231-RXN	PWY66-374
RXN-15344	PWY-7456
N-ACYLNEURAMINATE-9-PHOSPHATASE-RXN	
RXN-5481	
RXN-18768	
RXN-24378	PWY-8498
RXN-9873	PWY-6088
RXN-16012	PWY-6048 // RXN-12573
RXN-4342	6-HYDROXYCINEOLE-DEGRADATION-PWY
RXN-24373	PWY-8497
RXN1G01-67	
RXN-19008	PWY-7920
1.2.1.2-RXN	PWY-5497 // P164-PWY // PWY-7985 // PWY-6696 // PWY-1881
RXN-15100	PWY-7422
1.2.1.66-RXN	PWY1G-170
RXN-4201	PWY-2561
RXN-9432	PWY-5927
ISOAMYL-RXN	
FUMHYDR-RXN	FERMENTATION-PWY // PWY-8086 // P23-PWY // TCA-1 // P105-PWY // PWY-6969 // PWY-7254 // PWY-5913 // P108-PWY // PWY66-398 // PWY-6728 // PWY-561 // PWY-5690 // TCA // PWY-7384 // PWY-5392 // P42-PWY // REDCITCYC
CYANAMIDE-HYDRATASE-RXN	
ALLANTOATE-DEIMINASE-RXN	PWY-5698
RXN-18048	PWY-7818
RXN-17096	PWY-7722
RXN-2961	PWY-1801
METHIONINE--GLYOXYLATE-TRANSAMINASE-RXN	
RXN-21486	PWY-8155 // RXN-21495
RXN-19777	
RXN-12141	PWY-6710
RXN-21466	PWY-8152
RXN-15007	PWY-7400
RXN-22337	PWY-4202
RXN-15553	PWY-7510
RXN-10788	PWY-7129
RXN-11537	PWY-6544
RXN-15348	THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN
MELILOTATE-3-MONOOXYGENASE-RXN	
RXN-21690	PWY-8175
RXN-24107	
RXN-18970	RXN-8215
RXN-19776	
RXN-18973	
RXN-24170	
GUANIDINOACETASE-RXN	
3.1.4.40-RXN	
RXN-9062	PWY-5775
RXN-9916	PWY-7251 // PWY-6109
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	
RXN-12031	PWY-6260
GLYCEROL-DEHYDROGENASE-NADP+-RXN	
RXN-10061	PWYG-321 // PWY-6113
RXN-16924	PWY-7695
RXN-17567	PWY-7774
RXN-20719	PWY-8064
GLYCOLATEDEHYDRO-RXN	
RXN-12656	PWY-6888 // RXN-19639
RXN-22106	PWY-8213
RXN-8987	PWY-5749
RXN-17770	PWY-7789
RXN0-3922	PWY0-1221
RXN-9934	
PGLUCONDEHYDRAT-RXN	ENTNER-DOUDOROFF-PWY
RXN-23123	PWY-8365
RXNQT-4340	PWYQT-4471
RXN-14154	
RXN-18105	RXN-15434
RXN-12732	PWY-6935
PYRUFLAVREDUCT-RXN	P142-PWY // GLUDEG-II-PWY // PWY-6587 // PWY-5483 // PWY-5497 // PWY-6863 // PWY-8275 // PWY-8377 // PWY-6142 // PWY-8303 // P23-PWY // CENTFERM-PWY // PWY-6583 // PWY-8189 // PWY-5392 // P42-PWY // NPGLUCAT-PWY // PWY-6876 // PWY-6588 // PWY-5493 // PWY-5600 // PWY-5538
TRIMETAPHOSPHATASE-RXN	
RXN0-1134	PYRUVDEHYD-PWY // PYRUVDEH-RXN
RXN-10695	PWY-735
ALDOSE-BETA-FRUCTOSYLTRANSFERASE-RXN	
4-OXOPROLINE-REDUCTASE-RXN	
RXN-5466	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
RXN-13811	PWY-7138
ARYL-ALDEHYDE-OXIDASE-RXN	
RXN-21950	
RXN-10611	PWY-6261
RXN-14152	
RXN-8353	RXN-22207
RXN-23675	
RXN-11235	
RXN-14576	PWY-7291
RXN-16303	PWY-7628
RXN-12002	PWY-7176
3.2.1.82-RXN	PWY-7246
RXN-20610	RXN-20616
RXN-21619	PWY-8173
RXN-16723	PWY-7671
RXN-14360	PWY-7241
RXN-14312	PWY8J2-20
2.1.1.117-RXN	PWY-5470 // PWY-7138 // PWY-7507 // PWY-3901
RXN-15416	
DIMETHYLMALEATE-HYDRATASE-RXN	PWY-5055
RXN-11754	
RXN-14161	
RXN0-6256	
RXN-23820	
RXN2DNV-42	PWY2DNV-11
RXN-7739	PWY-5098 // PWY-7164
RXN-21763	PWY-8182
RXN-15693	
RXN-18031	
RXN-774	PWY-699 // PWY-2582
RXN-20737	
RXN-10077	GAMMAHEXCHLORDEG-PWY
RXN0-382	
RXN-15773	
RXN-17045	PWY-7712
3.4.21.38-RXN	PWY66-432
RXN-12657	PWY-6888 // RXN-19639
RXN-10444	
RXN-12789	PWY-6948
RXN-7487	PWY-5002
RXN-16224	
RXN-15238	
RXN-11612	PWY-6574
RXN-13705	
RXN-20979	
RXN-14899	PWY-7367
RXN1G-1527	PWYG-321
1.1.2.5-RXN	PWY-8377
RXN-19209	
RXN-18259	PWY-7832 // PWY-7833
RXN-15147	METBALT-RXN
RXN-16173	PWY-699 // RXN-22830
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	
RXN0-3901	PWY0-1221
RXN-19656	
RXN-10897	PWY-6340
RXN-9058	PWY-6427
RXN-20118	PWY-8026
RXN-12219	PWY-6742
RXN-11583	PWY-7995 // PWY-6631 // RXN-13196 // RXN-11585
RXN-11450	PWYQT-4471
RXN-21783	PWY-8181
RXN-23531	PWY-8408 // PWY-8409
RXN-20339	PWY-8041
RXN-9357	PWY-5889
RXN-10930	PWY-6346
RXN-5424	PWY-3162
RXN-12599	PWY-6887
RXN-22382	
RXN-11538	PWY-6544
RXN-13616	PWY0-1337 // PWY-7094
RXN-11210	PWY-6430
RXN-10127	PWY-6197
RXN-7971	
RXN-16692	PWY-7669
2.4.1.32-RXN	
RXN-13059	PWY-5316 // PWY-7342
RXN-3483	PWY-2242
RXN4FS-9	PWY4FS-11
1TRANSKETO-RXN	P124-PWY // PWY-8178 // CALVIN-PWY // PWY-5723 // NONOXIPENT-PWY // P185-PWY // PWY-1861 // P21-PWY
RXN-14251	PWY-7216
RXN-18860	RXN-18879 // PWY-7915
TYROSINE-ESTER-SULFOTRANSFERASE-RXN	
RXN-10644	PWY-6279
RXN-20564	PWY-8055
RXN-15254	
R15-RXN	PWY-1186 // PWY-6854 // PWY-6053
RXN-14995	PWY-7399
RXN-13940	PWY-7164
RXN-10481	PWY-6244
RXN-9908	PWY-6104
RXN-15082	PWY-7419
RXN-8837	PWY-5645
RXN-8133	PWY-5261
RXN-12030	PWY-6260
RXN-13061	PWY-5399 // MONOPHENOL-MONOOXYGENASE-RXN
RXN-9902	PWY-6102
RXN-9467	PWY-5940
1.3.1.71-RXN	PWY-6075
RXN-10456	PWY-6220
RXN-24422	
ACETYLORNTRANSAM-RXN	ARGSYNBSUB-PWY // PWY-5154 // GLUTORN-PWY
RXN-20668	
RXN-7243	PWY-4702
RXN-21634	PWY-8173
PHOSPHOGLUCMUT-RXN	PWY-6981 // PWY-5661 // PWY-8139 // GLYCOCAT-PWY // PWY-5941 // PWY-7900 // PWY-7902 // PWY-622 // PWY-6317 // GLUCOSE1PMETAB-PWY // PWY-5384 // PWY-5940 // PWY-7238 // PWY-3801 // PWY-7343 // PWY-6731 // PWY-6737 // PWY-2723 // GLYCOGENSYNTH-PWY
RXN-23964	
RXN-23299	PWY-8382
RXN-11490	PWY-6525 // PWY-6524
RXN-12828	PWY-2961
RXN0-262	PWY-5964
2-OXOALDEHYDE-DEHYDROGENASE-NAD+-RXN	
RXN-1603	
2.1.1.155-RXN	PWY-7166 // PWY-7163
RXN-17672	
D-FUCONATE-HYDRATASE-RXN	
D-IDITOL-2-DEHYDROGENASE-RXN	
3.1.2.19-RXN	
RXN-9742	PWY-6051
RXN-14918	PWY-7436
2.4.1.138-RXN	
RXN-12357	PWY-6797
AMINO-ACID-RACEMASE-RXN	
RXN-13237	PWY-7025
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	PWY-7269
2.5.1.67-RXN	PWY-6926
RXN-8681	PWY-6824 // PWY-5466 // RXN-13433
RXN-11920	PWY-6672
METHYLACETOACETYLCOATHIOL-RXN	PWY-5109 // ILEUDEG-PWY
DTDPDEHYRHAMREDUCT-RXN	DTDPRHAMSYN-PWY
RXN-10103	PWY-6192
RXN-7064	PWY-4421
RXN-22091	PWY-8210
RXN66-340	PWY-8200 // PWY-8202 // PWY66-378
RXN-20773	PWY-6409
RXN-23692	RXN-23694
RXN-12516	
L-RHAMNONO-14-LACTONASE-RXN	PWY-6713 // PWY-6714
RXN-8390	PWY-5367
RXN1F-775	PWY-7450 // PWY-7262 // PWY-5313
RXN-12538	RXN-12535 // PWY-6853 // PWY-7126 // PWY-7124
RXN-22728	RXN-22726
RXN-24052	PWY-6493 // RXN-11389
PUTTRANSAM-RXN	PUTDEG-PWY
RXN-9075	PWY-5784
RXN-11030	PWY-6385
RXN-11782	PWY-6654
RXN-13295	PWY-7036
RXN-5381	PWY-5094
RXN-23978	PWY-8459
PYRANOSE-OXIDASE-RXN	
RXN-20210	PWY-8033
RXN-23708	
RXN-1106	PWY-361 // PWY-6027
RXN-18645	
RXN-12008	PWY-6682
RXN-14062	PWY-7213
RXN-21102	PWY-8117
UPPSYN-RXN	
RXN-23074	PWY-8361
RXN-20404	
RXN-22207	PWY-2541 // PWY-8238
RXN-12441	PWY-6820
RXN-7621	PWY-5047
R8-RXN	P3-PWY
RXN-22125	PWY-8219
1.1.1.166-RXN	
RXN-23449	PWY-8396
RXN-10451	PWY-7859
RXN-19815	
RXN-17419	PWY-8134
RXN-13630	PWY-7100
RXN-24418	RXN-24414 // PWY-8502
RXN-15296	PWY-8349 // PWY-8350 // PWY-8213 // PWY-7446
RXN-16637	PWY-6308
D-XYLOSE-1-DEHYDROGENASE-RXN	PWY-8020
2.4.1.159-RXN	
RXN-19177	
1.2.1.53-RXN	PWY-7431
RXN-12534	PWY-6842
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	
URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN	
RXN-22789	RXN-22787
RXN-15797	PWY-7549
RXN-8947	PWY-5737
RXN-14441	PWY-7260
RXN-14925	
RXN-18950	
RXN-13913	PWY-7160
RXN1G-1637	PWYG-321
RXN-22781	
3.1.1.66-RXN	
4.2.1.111-RXN	PWY-7662 // RXN-14306
ASCORBATE-PHOSPHORYLATION-RXN	
L-XYLOSE-1-DEHYDROGENASE-RXN	
RXN66-640	PWY-5994
MTDMBARK-RXN	PWY-5209
RXN-7001	PWY-4202
RXN0-7123	PWY2O6K-4 // PWY2O6K-2
DEPHOSPHOCOAKIN-RXN	PWY8J2-29 // PWY-7851 // COA-PWY
RXN-15062	PWY-7415
RXN-21443	PWY-5710
RXN-12246	PWY-8020 // PWY-7294
RXN-7803	NUCLEOSIDE-OXIDASE-RXN
RXN-8144	PWY-5270
RXN0-7066	PWY0-1554
RXN-16895	
RXN-13080	PWY-6994
RXN-16412	PWY-7636
RXN-13607	
RXN-8666	
RXN-18443	
RXN-8713	PWY-5474
RXN-20794	PWY-8075
RXN-21688	PWY-8175
RXN-16191	PWY-5707
RXN-12840	PWY-7318 // PWY-7414
RXN-20608	RXN-20620
RXN-16763	PWY-5349 // PWY-7398
RXN-16417	PWY-1121 // PWY-321
2.4.1.230-RXN	PWY-7459
RXN-9295	
RXN-7809	PWY-5133
3-HYDROXYANTHRANILATE-OXIDASE-RXN	
RXN-865	PWY-81
RXN0-6938	RXN-20025
RXN-9892	PWY-6087 // PWY-6107
D-XYLULOSE-REDUCTASE-RXN	LARABITOLUTIL-PWY
RXN-14162	
RXN-22160	PWY-8230
METHYLGLUTACONYL-COA-HYDRATASE-RXN	PWY-7571 // LEU-DEG2-PWY
RXN2DNV-28	PWY2DNV-5
2.4.1.222-RXN	
1.2.1.27-RXN	PWY-5642
RXN-21439	
RXN0-4841	PWY0-521
RXN-23160	PWY-8368
RXN1UA-69	
RXN-21865	PWY-8208
RXN-8171	PWY-5313 // PWY-5284
RXN-14378	PWY-622
RIBOSE-ISOMERASE-RXN	
3.4.21.95-RXN	PWY66-432
GLUTATHIONE-PEROXIDASE-RXN	DETOX1-PWY-1 // PWY-4081
FUCOKINASE-RXN	PWY-6
RXN-20490	PWY-8049
RXN-15851	
2.4.1.147-RXN	PWY-7435
DEHYDDEOXPHOSGALACT-ALDOL-RXN	PWY-7130 // GALACTCAT-PWY
CYTIDYLATE-CYCLASE-RXN	
GLUCURONOLACTONE-REDUCTASE-RXN	
RXN-17278	PWY-7743
RXN-16550	PWY-7656
RXN-18979	
RXN-24445	PWY-8506
RXN-16183	PWY-7612
RXN-20323	PWY-8039
CREATINE-KINASE-RXN	PWY-6158
RXN-16744	PWY-7673
2.4.99.2-RXN	PWY-7836
RXN-15950	PWY-7571
RXN-24395	RXN-24387
RXN-13470	PWY-7058 // PWY-7186
DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN	SOPHOROSYLOXYDOCOSANOATE-DEG-PWY
RXN-23135	PWY-8366
RXN18C3-3	PWY-8477 // PWY18C3-3 // PWY18C3-2
RXN-13983	PWY-7172
RXN-14408	PWY-8449
RXN-22329	RXN-24112 // PWY-4202 // PWY-4621 // PWY-8266 // RXN-22363 // RXN-22358 // RXN-22330
RXN-21658	PWY-8174
RXN-7954	PWY-6567
LACTALDDEHYDROG-RXN	PWY-6713 // PWY-5458 // PWY-5197 // PWY0-1317
RXN-23084	PWY-8361
RXN18C3-21	PWY18C3-7
DISCADENINE-SYNTHASE-RXN	
1.3.1.62-RXN	PWY-301 // P321-PWY
PROLINE-RACEMASE-RXN	PWY-8186
RXN-17088	PWY-6192
TOLUENE-DIOXYGENASE-RXN	TOLUENE-DEG-DIOL-PWY
RXN-21695	PWY-8175
RXN-12898	
RXN-12060	
RXN2DNV-14	PWY2DNV-4
RXN-12662	PWY-6919
2.4.99.11-RXN	PWY-7836
2.7.4.20-RXN	
RXN-20108	RXN-20105
RXN-16777	PWY-7678 // PWY-7679
RXN-4229	PWY-2582
RXN-14304	PWY-8130
RXN-17070	PWY-7714
RXN-19529	PWY-7991
RXN-20078	
R102-RXN	P101-PWY
RXN-21514	PWY-8157
RXN-11637	
R214-RXN	P241-PWY
RXN-10044	
RXN-15491	PWY-7491
RXN-9220	PWY-5849
RXN-8406	PWY-5372
RXN-17540	PWY-7771
RXN-15354	PWY-7458
2.3.1.106-RXN	
2.1.1.16-RXN	
ALCOHOL-DEHYDROG-RXN	FERMENTATION-PWY // PWY-6587 // PWY-5486 // PWY0-1477 // PWY-6333 // P122-PWY // PWY4LZ-257 // P161-PWY // PWY-5480 // PWY66-21 // ETOH-ACETYLCOA-ANA-PWY
RXN-17793	
RXN-11746	PWY-6644
RXN-15023	PWY-7405
RXN-18837	PWY-7912
RXN-12280	PWY-6724
RXN-12859	PWY-8379 // PWY-6955
RXN-12175	
RXN-14871	PWY-7363
RXN-20401	PWY-8043
RXN-8746	PWY-5490
RXN-12277	PWY-6724
RXN-17404	
IPPISOM-RXN	NONMEVIPP-PWY // PWY-8125 // PWY-6383 // PWY-7524 // PWY-922 // PWY-6859 // PWY-7560 // PWY-7391 // PWY-7102 // PWY-6174
RXN-11406	PWY-6498
STROMBINE-DEHYDROGENASE-RXN	PWY-7351
RXN-18505	RXN-18564 // PWY-7863
RXN-18287	PWY-7836
RXN-13443	PWY-7727 // PWY-7606 // PWY-7053
RXN-1901	PWY-743 // PWY-7926 // RXN-14638 // PWY-5336 // PWY-1164
RXN-23514	PWY-8399
RXN-9440	
RXN-14185	PWY-7917
RXN2DNV-11	PWY2DNV-3
RXN-22443	RXN-20709 // RXN-12886 // RXN0-6444
RXN-12173	PWY-6771
RXN-10050	
RXN-9152	PWY-5822
DIHYDROOROT-RXN	PWY-7790 // PWY-7791 // PWY-5686
RXN-11756	
RXN-10034	PWY-6689
PRPPSYN-RXN	PWY0-662
RXN-15962	PWY-7572
2.7.8.6-RXN	PWY-8192 // PWY-8228 // PWY-8133 // PWY-8196 // PWY-8199 // PWY-8197 // PWY-8195 // PWY-8193 // PWY-8198
RXN-20506	
RXN-12501	
RXN66-630	PWY-5994
RXN-12193	PWY-6737
RXN-12899	
RXN8J2-155	
2.1.1.83-RXN	PWY-7150
2.7.7.1-RXN	PWY3O-4106 // NAD-BIOSYNTHESIS-III
RXN-21706	PWY-8175
RXN-6549	PWY-5047
RXN-16665	PWY0-1586
GLUTAMATE-SYNTHASE-NADH-RXN	PWY-6963 // GLUGLNSYN-PWY
RXN-14856	PWY-7352
R165-RXN	PWY0-41
RXN-12265	
RXN-20751	
RXN-17790	
RXN-18804	RXN-9386 // GLURS-RXN // 6.1.1.24-RXN // PWY-7907 // RXN-19485 // RXN-19482
RXN-16590	PWY-7660
RXN-8014	PWY-5168
GLUCOSE-1-PHOSPHAT-RXN	GLUCOSE1PMETAB-PWY
RXN-24211	PWY-8478
RXN-16364	PWY-7631
RXN-22041	PWY-8204
RXN-20904	PWY-8083 // RXN-20870
RXN-14084	PWY-7189
RXN-13735	
RXN-19031	PWY-7926
RXN-15949	PWY-5254
RXN-19084	PWY-8210 // RXN-19068
RXN-21211	PWY-6955
RXN-22022	
RXN-14202	
RXN-20185	
RXN-7985	PWY-5945 // RXN-13185
RXN-22300	PWY-8253
RXN-23672	
TDPFUCACTRANS-RXN	PWY-7315
2.4.2.27-RXN	PWY-5940
RXN66-474	PWY66-388
RXN-19146	PWY-7942
RXN-19289	
RXN-14728	
RXN-20906	PWY-8077
RXN-22664	PWY-8320
RXN-16661	
PALMITOYL-COA-HYDROLASE-RXN	PWY-1121 // PWY-321 // PWY-6733
CHORISMATE-SYNTHASE-RXN	PWY-6163
RXN-8022	PWY-6287 // RXN-12411 // RXN-12414 // RXN-12413 // RXN-12247
RXN-21711	PWY-7052
RXN-21642	PWY-8173
RXN-18336	PWY-6324
RXN-17729	PWY-7782
RXN-4804	PWY-2921 // RXN-11908
RXN-18629	PWY-7880
RXN-18833	
RXN-21543	PWY-8447
ARABINONATE-DEHYDRATASE-RXN	PWY-8331 // PWY-5519
RXN-16262	PWY-7657 // PWY-6973 // PWY-6974 // PWY-6808
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN	PWY-6876
RXN-15409	PWY-7485 // PWY-7483
GSPAMID-RXN	
RXN-11890	
RXN-12325	
1.4.3.19-RXN	PWY-7396
RXN-18866	RENILLA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7914
RXN-18946	RXN-19373 // PWY-7484
RXN-17215	PWY-7742
2.4.1.101-RXN	PWY-7920 // PWY-7426
ORNITHINE-N-BENZOYLTRANSFERASE-RXN	
RXN-12682	PWY-7066 // RXN-12680
RXN-20705	PWY-8063
RXN-4723	PWY-2902
RXN-22089	PWY-8210
ADENYLYLSULFATE-REDUCTASE-RXN	DISSULFRED-PWY
RXN-15813	PWY-7556
RXN-14968	
RXN-10111	
RXN-19280	
RXN-19167	PWY-7945 // PWY-7944
RXN-12077	PWY-6694
RXN-6462	PWY-4021
1.14.99.34-RXN	
RXN-16014	PWY-7582
RXN-14574	
RXN-20518	
RXN-22043	
RXN-17834	
RXN-14424	PWY-7252
RXN-11380	PWY-6491
RXN-13973	
RXN-20588	PWY18C3-2
RXN-8779	PWY-5782
RXN-12923	PWY-7108
RXN-20630	RXN-20640
NN-DIMETHYLFORMAMIDASE-RXN	
RXN-20534	PWY-8052
RXN-23462	PWY-8395
RXN-14263	
RXN-13714	
RXN-18926	PWY-7919 // RXN-18910
RXN-20415	PWY-8040
RXN-9560	PWY-7910
RXN-15541	PWY-7507
RXN-24262	
GALPMUT-RXN	PWY-6397 // PWY-7622 // PWY-7328 // OANTIGEN-PWY
RXN-20711	
RXN-14997	
RXN-13681	
RXN-14980	
RXN0-5061	PWY1R65-1 // LIPA-CORESYN-PWY
DIAMTRANSAM-RXN	
RXN1P3V-74	
RXNQT-4141	PWY-882
RXN-17431	PWY-7760 // PWY-7758 // PWY-7759
RXN-22281	PWY-8250
RXN-11354	PWY-6475
RXNQT-4328	PWYQT-4475
RXN-16013	PWY-6048 // RXN-12573
RXN-18496	
RXN-16242	PWY-7621
RXN-10725	PWY-6310
RXN-8646	
RXN-23693	RXN-23694
RXN0-746	PWY-7222
RXN-21592	PWY-8166
RXN-16149	PWY-6433
RXN-24386	
RXN-19666	
RXN-19144	
RXN-21549	PWY-8163
RXN-14526	PWY-7285
RXN-14073	
RXN-18402	
RXN-24038	
RXN-23475	PWY-8399
RXN-21058	PWY-8108
RXN-11005	PWY-6377
INDANOL-DEHYDROGENASE-RXN	
RXN-8424	
RXN-22146	PWY-8226
RXN-23518	PWY-8398
RXN18C3-55	PWY18C3-21
RXN-19741	
HOMOACONITATE-HYDRATASE-RXN	LYSINE-AMINOAD-PWY // P241-PWY // PWY-3081 // RXN-13722
RXN-11413	PWY-601 // RXN-18158
RXN-5163	PWY-3061
RXN-23155	
RXN-24108	
RXN1G-818	PWYG-321
RXN-9441	
RXN-3221	PWY-6325 // PWY-2002
24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN	PWY-6085
RXN-16408	PWY-6733
HYDROXYACID-OXOACID-TRANSHYDROGENASE-RXN	
RXN-14361	
RXN-15202	PWY-7456
RXN-13196	
RXN-22898	
RXN-15658	
RXN-9907	PWY-6103
MALYL-COA-LYASE-RXN	PWY-1622 // PWY-6728 // PWY-5743 // PWY-5741
RXN-23569	PWY-8411
RXN-22070	PWY-8244 // PWY-8209
RXN-3592	PWY-2345
RXN-20994	
ASPULVINONE-DIMETHYLALLYLTRANSFERASE-RXN	
2-METHYLCITRATE-SYNTHASE-RXN	PWY-5747 // PWY0-42
RXN-15247	
RXNQT-4327	PWYQT-4474
RXN-12097	
RXN-14181	PWY-8077 // PWY-7204
RXN-10840	PWY-6322
RXN-17110	PWY-7726
RXN-8898	PWY-5706
LEUCYLTRANSFERASE-RXN	PWY-7801
RXN-23980	PWY-8459
SUPEROX-DISMUT-RXN	DETOX1-PWY-1 // PWY-6854 // DETOX1-PWY
RXN-12494	PWY-6836
RXN0-5243	
RXN-16081	PWY-7726
RXN-21811	
RXN-8506	
1.2.1.25-RXN	PWY-8175 // VALDEG-PWY
RXN-8237	PWY-5305
RXN-17101	PWY-8350 // PWY-8213 // PWY-7722
RXN-18818	
RXN-19193	
R621-RXN	
TRIOKINASE-RXN	PWY-8404 // PWY66-373
RXN-21027	RXN-982
RXN-15537	PWY-7498
RXN-8124	PWY-6148
RXN-8560	
2.4.1.115-RXN	PWY-5125
SUCROSE-PHOSPHORYLASE-RXN	PWY-5384
RXN-22460	
RXN-12848	PWY-6946 // RXN-17644 // PWY-6945
RXN3O-9888	
RXN-10651	PWY-6280
RXN-11641	PWY-6332
RXN-22970	PWY-8349
NICOTINATE-DEHYDROGENASE-RXN	PWY-722
RXN-10449	PWY-6233
RXN-22280	PWY-8250
RXN-11657	PWY-5787
3.2.1.101-RXN	
RXN-23082	PWY-8361
RXN-23586	PWY-8414
RXN-10139	PWY-7770 // PWYDQC-4
RXN-18205	PWYQT-4450 // RXNQT-4171
RXN-18361	14DICHLORBENZDEG-PWY
RXN-17057	PWY-7714
RXN0-7008	PWY0-1544
RXN-9697	TYROSINE-23-AMINOMUTASE-RXN // PWY-7398 // PWY-7397
RXN-12431	PWY-6818
RXN-21472	PWY-8151
RXN1G-196	PWYG-321
ADP--THYMIDINE-KINASE-RXN	
RXN-17111	PWY-7726
N-ACETYLHEXOSAMINE-1-DEHYDROGENASE-RXN	
RXN-20355	
RXN-22982	PWY-8353
RXN-11719	PWY-6627
RXN-13905	PWY-7157
RXN-24302	PWY-5660
RXN-15932	PWY-7569
RXN-15407	PWY-7483
PRAISOM-RXN	TRPSYN-PWY
