Pathways	Reactions of pathway
PWY-5859	RXN-9246 // RXN-9245 // RXN-9244
PWY-7542	RXN-15750 // RXN-15749 // RXN-15748 // RXN-15747 // RXN-15746
PWY-8373	RXN-23190 // RXN-23191
PWY-7849	RXN-18354 // 3.5.2.17-RXN // RXN-6201
POLYAMINSYN3-PWY	SPERMINE-SYNTHASE-RXN // N-CARBAMOYLPUTRESCINE-AMIDASE-RXN // AGMATINE-DEIMINASE-RXN // ARGDECARBOX-RXN // ARGINASE-RXN // ORNDECARBOX-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN
PWY-7221	GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-5913	RXN-14971 // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // ISOCITDEH-RXN // PEPCARBOX-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
LYSINE-AMINOAD-PWY	RXN-16758 // RXN-16757 // RXN-7970 // HOMOACONITATE-HYDRATASE-RXN // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN3O-127 // RXN3O-1983 // HOMOCITRATE-SYNTHASE-RXN // 1.5.1.7-RXN
BGALACT-PWY	BETAGALACTOSID-RXN
DARABCATK12-PWY	GLYCOLALD-DEHYDROG-RXN // DARABALDOL-RXN // DARABKIN-RXN // DARABISOM-RXN
PWY-5422	RXN-8538 // RXN-8537 // RXN-8536 // RXN-8535 // RXN-8514 // RXN-4861
PWY-8174	RXN-21715 // RXN-21675 // RXN-21673 // RXN-21672 // RXN-21671 // RXN-21670 // RXN-21669 // RXN-21668 // RXN-21667 // RXN-21666 // RXN-21665 // RXN-21664 // RXN-21663 // RXN-21662 // RXN-21661 // RXN-21660 // RXN-21659 // RXN-21658 // RXN-21657 // RXN-21656 // RXN-21655 // RXN-21654 // RXN-21653 // RXN-21652 // RXN-21651 // RXN-21650 // RXN-21649 // RXN-21648 // RXN-21647 // RXN-21646 // RXN-21645 // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN // RXN-21610
PWYDQC-4	RXNDQC-2 // RXN-10139
PWY-8235	RXN-22189 // RXN-22188 // RXN-21954 // RXN-21953 // RXN-22187 // GLCNACPTRANS-RXN // RXN-14572 // RXN-21948
PWY-5319	DIHYDROCOUMARIN-LIPASE-RXN // RXN-8250
PWY-7531	RXN-15665 // RXN-15664 // RXN-15663 // RXN-15662
PWY-4984	RXN-13202 // ARGINASE-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // ORNCARBAMTRANSFER-RXN
PWY-5489	RXN-8743
PWY-31	RXN-35 // RXN-34
PWY-7669	RXN-16694 // RXN-16693 // RXN-16692
PWY-4421	RXN-13814 // RXN-13813 // RXN-7067 // RXN-7066 // RXN-7065 // RXN-7064 // RXN-7063 // RXN-7062
PWY0-1324	RXN0-7390 // RXN0-7389 // NANK-RXN // NANE-RXN
PWY-8271	1.18.1.2-RXN // RXN-22408 // RXN1YI0-22 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-5741	RXN-16391 // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-8961 // RXN-8960 // RXN-8959 // RXN-8958 // RXN-8957
PWY-7460	RXN-22902 // RXN-15360 // RXN-15359
PWY-6602	RXN-18753 // RXN-11685 // RXN-14076 // RXN-14069 // RXN-11686 // RXN-11684
PWY-699	RXN-16173 // RXN-16172 // RXN-16171 // RXN-11535 // RXN-11536 // RXN-4241 // RXN-779 // RXN-778 // RXN-777 // RXN-776 // RXN-775 // RXN-774 // RXN-773 // RXN-720 // RXN-719 // RXN-718 // RXN-717 // RXN-716 // RXN-715 // RXN-714 // RXN-713 // RXN-712 // RXN-711 // RXN-710 // RXN-709
PWY-6068	RXN-9819 // RXN-9818 // 2.4.1.220-RXN
PWY-7592	RXN-9673 // 1.14.19.3-RXN // RXN-16064 // RXN-12968 // RXN-12971 // RXN-12969 // RXN-12777
PWY-3502	RIBOSYLNICOTINAMIDE-KINASE-RXN // 2.7.7.1-RXN // RXN-5721 // QUINOPRIBOTRANS-RXN // RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN // RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7066	RXN-7570 // RXN-19713 // RXN-19712 // RXN-13496 // RXN-13494 // RXN-13493 // RXN-13491 // RXN-12683 // RXN-13489 // RXN-13492 // RXN-12682 // RXN-12681
PWY-8036	RXN-20296 // RXN-20295 // RXN-20294 // RXN-20293 // RXN-20292 // RXN-20283 // RXN-20284 // RXN-20286 // RXN-20287 // RXN-20288 // RXN-20289 // RXN-20290 // RXN-20291
PWY-7939	RXN-19135 // RXN1F-150
PWY-7635	KIEVITONE-HYDRATASE-RXN
PWY-8198	RXN-22030 // TRANS-RXN-430 // RXN-21854 // 2.7.8.6-RXN // RXN-21843 // RXN-21844
PWY2S1Y-3	RXN2S1Y-19 // RXN-19659 // AGMATINE-DEIMINASE-RXN // PUTRESCINE-CARBAMOYLTRANSFERASE-RXN // RXN-14196
PWY-5143	RXN-7904
PWY-5917	RXN-17523 // RXN-15986 // 1.3.7.5-RXN
PWY-7294	MALSYN-RXN // GLYCOLATE-REDUCTASE-RXN // RXN-14642 // 4.1.2.28-RXN // XYLONATE-DEHYDRATASE-RXN // RXN-12246 // RXN-14641
PWY-7882	RXN-18656 // RXN-18655 // RXN-18654 // RXN-18653 // RXN-18648
PWY0-1305	GLUTDECARBOX-RXN
PWY-1164	RXN-1901 // RXN-2189
PWY-8444	RXN-23808 // L-FUCONATE-HYDRATASE-RXN // RXN-22640 // RXN-22637 // RXN0-5298
PWY-6448	RXN-11292 // AGMATINE-N4-COUMAROYLTRANSFERASE-RXN
BSUBPOLYAMSYN-PWY	SAMDECARB-RXN // SPERMIDINESYN-RXN
PWY0-1329	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN0-5268
PWY-5324	RXN-8173 // LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN
PWY-6059	RXN-20073 // RXN-18086 // RXN-14709 // RXN-14710 // RXN-9767
PWY0-1546	RXN0-6981 // RXN0-5228 // RXN0-961 // RXN0-5227
PWY-5273	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // RXN-668 // RXN-667 // RXN-666 // RXN-665 // RXN-664
PWY-5140	RXN-23071 // RXN-23070 // RXN-14172 // RXN-13663 // RXN-13662 // RXN-13612 // RXN-7857 // RXN-7858 // RXN-7859 // RXN-7856 // RXN-7855 // RXN-7854 // RXN-7853
DENITRIFICATION-PWY	TRANS-RXN0-239 // RXN-11236 // RXN-15838 // RXN-12130 // NITRIC-OXIDE-REDUCTASE-RXN
PWY-8239	RXN-13709 // RXN66-28 // RXN66-27 // RXN-11887 // RXN66-320 // RXN66-319 // RXN66-318 // RXN-11878 // RXN-11881 // RXN-11876 // RXN-21831 // RXN-21830 // RXN-21829
PWY-7399	RXN-14996 // RXN-14995 // RXN0-6734 // RXN0-6733 // RXN0-6732
PWY-6473	RXN-11002 // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902
PWY-6581	RXN-12412 // RXN-11653 // RXN-11652 // RXN-11651 // RXN-11650 // RXN-11649 // RXN-11648 // RXN-11647 // RXN-10643
PWY-5632	2.3.1.175-RXN
PWY3O-19	RXN-20172 // RXN3O-73 // RXN3O-12 // RXN-9003 // RXN3O-102 // RXN3O-75 // RXN3O-54 // RXN3O-58
PWY-6515	RXN-11467 // RXN-11468 // RXN-11465
PWY-8291	ASPARTASE-RXN // GLUTAMINESYN-RXN // TRANS-RXN-379
PWY-8275	PYRUFLAVREDUCT-RXN
PWY8J2-1	RXN8J2-1 // RXN8J2-2 // RXN8J2-3
PWY-8463	RXN-24019 // RXN-24018 // R241-RXN // RXN-2001 // RXN-24016 // RXN-24015 // RXN-24014 // RXN-24013 // RXN-24012 // RXN-24011
PWY-7794	RXN-17825 // RXN-17826
PWY-5398	RXN-8471 // RXN-8472 // RXN-8473 // RXN-8474 // RXN-8475 // RXN-8476
PWY-5375	RXN-8413
PROPFERM-PWY	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN // DLACTDEHYDROGNAD-RXN // PYRUFLAVREDUCT-RXN // ALANINE-AMINOTRANSFERASE-RXN
PWY-8178	RXN-21730 // SEDOBISALDOL-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN
PWY-5033	RXN-11353 // RXN-646 // MALEATE-ISOMERASE-RXN // RXN-7586 // RXN-7585
PWY0-1544	RXN0-7008 // RXN0-5268
PWY-7955	RXN-19270 // RXN-19261 // RXN-19262 // RXN-19263
LACTOSECAT-PWY	RXN-15085 // TAGAALDOL-RXN // LACTOSE-6-PHOSPHATE-ISOMERASE-RXN // LACTOSE6P-HYDROXY-RXN // TAGAKIN-RXN
PWY-2622	5.4.99.16-RXN
PWY-7996	RXN-19667
PWY-8183	1.2.7.7-RXN // RXN-21793 // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
LEU-DEG2-PWY	RXN0-2301 // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // METHYLGLUTACONYL-COA-HYDRATASE-RXN // METHYLCROTONYL-COA-CARBOXYLASE-RXN // 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
PWY-7913	RXN-18878 // RXN-18877 // RXN-18851 // RXN-18850 // RXN-18848 // RXN-18847 // RXN-18846 // RXN-18845 // RXN-18840 // RXN-18842 // RXN-18841 // RXN-18839 // RXN-18843 // RXN-18844
SUCROSEUTIL2-PWY	FRUCTOKINASE-RXN // KETOGLUCOSE-REDUCTASE-RXN // 3-KETOGLUCOSIDASE-RXN // GLUCOSIDE-3-DEHYDROGENASE-RXN
PWY-8185	RXN-21794 // RXN-19534 // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
PWY18C3-3	RXN18C3-6 // RXN18C3-5 // RXN18C3-237 // RXN18C3-236 // RXN18C3-3 // RXN18C3-235 // RXN-21391 // RXN-20584 // RXN-20583 // RXN18C3-12 // RXN18C3-11 // RXN18C3-10 // RXN18C3-9 // RXN18C3-8
ARGSPECAT-PWY	SAMDECARB-RXN // SPERMINE-SYNTHASE-RXN
PWY-724	RXN-14014 // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // RXN-7737 // DIHYDRODIPICSYN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // RXN-15127 // RXN-15124 // RXN-15131 // HOMOCYSMET-RXN // CYSPH-RXN // THRESYN-RXN // HOMOSERKIN-RXN
PWY-8081	RXN-20909 // RXN-20908 // RXN-20907 // RXN-20866 // RXN-20865 // RXN-20864 // RXN-20863 // RXN-20862 // RXN-20861 // RXN-20860 // RXN-20859 // RXN-20858 // RXN-20854 // RXN-20857 // RXN-20855 // RXN-20856
PWY-5350	THIOSULFATE-SULFURTRANSFERASE-RXN
PWY-7909	FORMYLTHFDEFORMYL-RXN // RXN-2881 // METHYLENETHFDEHYDROG-NADP-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY-4781	RXN-10940 // RXN-7305 // RXN-7246 // RXN-7250 // RXN-7301 // RXN-7302 // RXN-7303 // RXN-7304
PWY-6964	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // GLUTAMINESYN-RXN
PWY3DJ-11470	RXN-9623 // RXN-16655 // RXN-14194 // RXN-19751 // RXN-16656 // CERAMIDASE-RXN // 2-HEXADECENAL-REDUCTASE-RXN // RXN3DJ-25 // RXN3DJ-11230 // RXN3DJ-11417
PWY-6406	RXN-1981 // ISOCHORSYN-RXN
PWY-8484	RXN-24274 // RXN-24273 // RXN-11006 // ORNDECARBOX-RXN // RXN-24271 // RXN-24269 // RXN-24268 // RXN-24267 // RXN-24265 // RXN-24263 // ENTF-RXN // DHBAMPLIG-RXN
PWY-7220	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN
PWY-6293	CYSTATHIONINE-BETA-LYASE-RXN // O-SUCCHOMOSERLYASE-RXN // RXN-15130 // CYSTATHIONINE-BETA-SYNTHASE-RXN // HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN
PWY-8210	RXN-22095 // RXN-22094 // RXN-22093 // RXN-22092 // RXN-22091 // RXN-22085 // RXN-22090 // RXN-22089 // RXN-22086 // RXN-19079 // RXN-19084 // RXN-19070 // RXN-22088 // RXN-22087
MANNIDEG-PWY	MANNPDEHYDROG-RXN
PWY1YI0-8	RXN-24063 // RXN-24067
PWY-5045	R241-RXN // RXN-7611 // RXN-7612 // PINOSYLVIN-SYNTHASE-RXN
PWY-8477	RXN18C3-235 // RXN18C3-3 // RXN-24031 // RXN-24032 // RXN-24033 // RXN-24030 // RXN-24029
PWY-7369	THIAMIN-TRIPHOSPHATASE-RXN // THIAMIN-DIPHOSPHATE-KINASE-RXN
PWY-6176	RXN-16190 // RXN-16191 // RXN-16192 // RXN-8912 // RXN-8911 // RXN-8910 // RXN-8909 // RXN-16200 // RXN-8916 // RXN-8915 // RXN-8919 // RXN-16193 // RXN-16198 // RXN-16197 // RXN-16195 // RXN-16194 // RXN-8905 // RXN-8902 // RXN-8901 // RXN-8899 // RXN-8900 // RXN-8898
PWY-7283	RXN-14517 // RXN-14516 // RXN-14518 // RXN-14519 // RXN-14528 // RXN-14520
PROUT-PWY	RXN-14903 // SPONTPRO-RXN // RXN-14116
PWY-8096	RXN-17122 // RXN-17123
PWY-8184	RXN-15031 // RXN-19503 // BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY3DJ-11281	RXN-15212 // RXN-15211 // RXN-12339
PWY-3941	2.6.1.18-RXN // PROPCOASYN-RXN // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-6384 // RXN-6383 // PROPIONATE--COA-LIGASE-RXN
PWY-743	RXN-1901 // RXN-1761
PWY-7181	THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
PWY-7945	RXN-19173 // RXN-19172 // RXN-19170 // RXN-16704 // RXN-19166 // RXN-16703 // RXN-19167
PWY-321	RXN-16389 // RXN-16398 // PALMITOYL-COA-HYDROLASE-RXN // RXN-16417 // RXN-16416 // RXN-9666 // RXN-16400 // RXN-1065 // RXN-9802 // RXN-9807 // RXN-9806 // RXN-9805 // RXN-9804 // RXN-9803 // RXN-1064 // RXN-1062
PWY-7437	RXN-15215 // RXN-15205
PWY-7733	RXN-17151 // RXN-17143 // RXN-17142 // RXN-17150 // RXN-17149 // RXN-17148 // RXN-17147 // RXN-17146
PWY-5923	RXN-9949 // RXN-9406 // RXN-9417 // RXN-9415 // 3.3.2.8-RXN // RXN-9410 // RXN-9407
PWY-46	ARGINASE-RXN // ORNDECARBOX-RXN
THISYN-PWY	RXN-9787 // RXN-11319 // RXN-9789 // RXN-9788 // DXS-RXN // THIAZOLSYN2-RXN // RXN-12611 // THI-P-KIN-RXN // PYRIMSYN1-RXN // PYRIMSYN3-RXN
PWY-7997	RXN-19668
PWY-6684	RXN-12027 // RXN-12026 // RXN-12025 // RXN-12024
PWY-8244	RXN-22228 // RXN-22227 // RXN-22225 // RXN-22226 // RXN-22070 // GLCNACPTRANS-RXN
PWY-5907	2.5.1.45-RXN
PWY-7662	RXN-8986 // 5.3.3.15-RXN // 4.2.1.111-RXN // 4.2.2.13-RXN
PWY-6585	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669
PWY18C3-15	RXN18C3-43 // RXN18C3-42 // RXN18C3-25
PWY-7864	RXN-18515
PWY-7843	RXN-17522
PWY-6919	RXNMETA-12666 // RXN-12664 // RXN-12663 // RXN-12662 // RXN-12661 // RXN-12658 // RXN-12652 // RXN-12650 // RXN-12649 // PENTALENENE-SYNTHASE-RXN // RXN-12651
PWY-7573	RXN-15970 // RXN-15969 // GDPMANDEHYDRA-RXN
PWY-6411	RXN-14621 // RXN-14723 // RXN-11132 // RXN-11133
PWY-8197	RXN-22034 // TRANS-RXN-434 // RXN-21853 // RXN-21852 // 2.7.8.6-RXN // RXN-21844
PWY-7536	RXN-15716 // RXN-15715 // RXN-15714 // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
PWY-1962	RXN-3181 // RXN-3185 // RXN-3184 // RXN-2946
PWY-2942	RXN-14014 // DIAMINOPIMELATE-DEHYDROGENASE-RXN // DIAMINOPIMDECARB-RXN // RXN-4821 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-7173	RXN-14000 // RXN-14001 // RXN1F-462
PWY-7382	RXN-14950 // RXN-13037 // RXN-14959 // RXN-14958 // RXN-14957 // RXN-14955 // RXN-14954
PWY-7688	RXN-16841 // RXN-12773 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12839 // RXN-12811
AST-PWY	SUCCGLUDESUCC-RXN // SUCCGLUALDDEHYD-RXN // SUCCORNTRANSAM-RXN // SUCCARGDIHYDRO-RXN // ARGININE-N-SUCCINYLTRANSFERASE-RXN
PWY-5742	RXN-8956 // 4.1.1.75-RXN // 1.2.1.54-RXN // GUANIDINOBUTYRASE-RXN
PWY-7898	RXN-15369 // RXN-15368 // RXN-15367
PWY0-43	RXN0-268 // RXN0-310 // METHYLMALONYL-COA-MUT-RXN
PWY-7774	RXN-17572 // RXN-17571 // RXN-17567 // RXN-17568
PWY-6901	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // TRANSALDOL-RXN // 2TRANSKETO-RXN // DLACTDEHYDROGNAD-RXN // L-LACTATE-DEHYDROGENASE-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // XYLISOM-RXN // XYLULOKIN-RXN
PWY-5088	MALATE-DEH-RXN // 2.1.3.1-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN // METHYLASPARTATE-MUTASE-RXN // METHYLASPARTATE-AMMONIA-LYASE-RXN // S-2-METHYLMALATE-DEHYDRATASE-RXN // CITRAMALATE-LYASE-RXN
PWY-1422	RXN-2562 // RXN-2561 // TOCOPHEROL-O-METHYLTRANSFERASE-RXN // RXN-2543 // RXN-2542 // RXN-2541 // 4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
PWY-5871	2.5.1.39-RXN // RXN-9284 // RXN-9281 // RXN-9278 // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9241
PWY-762	RXN-8361 // RXN-8360 // RXN-8331 // RXN-8330 // RXN-8329 // RXN-8328 // RXN-8326 // RXN-8327 // RXN-8325 // RXN-8324 // RXN-8323 // RXN-8322 // RXN-8321 // RXN-8320 // RXN-8319 // RXN-8318 // RXN-8317 // RXN-8316 // RXN-1727 // RXN-1726 // RXN-1725
PWY-7539	RXN-15730 // GTP-CYCLOHYDRO-II-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-8188	RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN // ALANINE-AMINOTRANSFERASE-RXN // DLACTDEHYDROGNAD-RXN
PWY2OBG-1	2.1.1.86-RXN // 2.3.1.101-RXN // 3.5.4.27-RXN // 1.5.99.9-RXN // METHELENE-THMPT-OXI-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
PWY-5301	RXN-8224 // RXN-19994 // RXN-19993 // RXN-12673 // RXN-19991 // RXN-19992 // RXN-8220 // 1.14.13.91-RXN // 1.1.1.273-RXN // RXN-8225 // RXN-8219 // RXN-8222 // RXN-8221 // 1.3.1.73-RXN // 1.5.1.32-RXN // 2.4.1.219-RXN // 1.14.13.75-RXN // 2.3.1.160-RXN // 3.1.1.78-RXN
PWY-7549	RXN-15799 // RXN-15798 // RXN-15797
SPHINGOLIPID-SYN-PWY	RXN-20397 // RXN-12642 // RXN-20396 // RXN-20394 // RXN3O-680 // RXN3O-663 // RXN3O-581 // RXN3O-328 // RXN3O-1380 // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN // SERINE-C-PALMITOYLTRANSFERASE-RXN
PWY-8214	RXN-22110 // RXN-22109
PWY-5365	RXN-14041 // RXN-20028 // RXN-12092 // RXN-24190 // RXN-24189 // RXN-24188 // 2.1.1.69-RXN // RXN-8387 // RXN-8386 // RXN-8383 // RXN-8382
P381-PWY	R344-RXN // R343-RXN // RXN-19344 // RXN-6261 // COBINPGUANYLYLTRANS-RXN // R345-RXN // RXN-8771 // FMNREDUCT-RXN // RIBOFLAVINKIN-RXN // 4.1.1.81-RXN // RXN-8626 // GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN // RXN-13826 // RXN-13824 // RXN-8675 // R342-RXN // R341-RXN // 5.4.1.2-RXN // 1.3.1.54-RXN // R322-RXN // 2.1.1.133-RXN // 2.1.1.131-RXN // R321-RXN // 2.1.1.130-RXN // UROPORIIIMETHYLTRANSA-RXN // DMBPPRIBOSYLTRANS-RXN // RXN-8770 // COBALAMIN5PSYN-RXN
PWY0-1334	RXN0-5266 // NADH-DEHYDROG-A-RXN
PWY-5195	RXN-20257 // RXN-12314 // RXN-8058 // RXN-8056 // RXN-8055 // RXN-8053 // RXN-8051 // RXN-8050 // RXN-8046
PWY0-1584	RXN-18584 // NITRATE-REDUCTASE-CYTOCHROME-RXN // RXN0-5260
PWY-8349	RXN-20061 // TRANS-RXN-511 // RXN-20701 // RXN-22970 // RXN-22971 // RXN-22969 // RXN-15296
PWY-7527	RXN-13072 // RXN-15650 // R147-RXN // R83-RXN // R82-RXN // R145-RXN // 5.3.1.23-RXN // 5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN // SAMDECARB-RXN // SPERMIDINESYN-RXN // S-ADENMETSYN-RXN
PWY-6056	RXN-9760
PWY-8273	RXN-22424 // RXN-15615
ARO-PWY	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-5861	DMK-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // RXN-8992
PWY-5658	RXN-8849
P122-PWY	GLUCOKIN-RXN // GLU6PDEHYDROG-RXN // PGLUCISOM-RXN // FRUCTOKINASE-RXN // DLACTDEHYDROGNAD-RXN // L-LACTATE-DEHYDROGENASE-RXN // 6PGLUCONOLACT-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PHOSACETYLTRANS-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // PHOSPHOKETOLASE-RXN // RIBULP3EPIM-RXN // 6PGLUCONDEHYDROG-RXN
PWY-7175	RXN-14017 // RXN-14016
PWY-7018	RXN-13212 // RXN-13211 // RXN-13210 // RXN-13209 // RXN-13208 // RXN-13207
PWY-6938	RXN-12754 // RXN-12752 // RXN-12753 // 4.2.1.93-RXN
PWY-7071	RXN-13521 // RXN-13520 // RXN-13518 // RXN-13517 // RXN-13516 // RXN-13515 // RXN-13514 // RXN-13513 // RXN-13512 // RXN-13511
PWY-7853	RXN-18378 // RXN-12356 // RXN-10063 // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY-7841	RXN-18313 // RXN-18312 // RXN-18311 // RXN-18308 // RXN-18307 // RXN-18306 // 2.4.99.10-RXN // 2.4.1.163-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119 // 2.4.1.206-RXN // RXN-12229
PWY-6224	RXN-10446
PWY-6165	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // ASPARTATEKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-8075 // RXN-10054 // RXN-10053 // RXN-10031 // RXN-10032
PWY-5883	RXN-21529 // RXN-21528 // PHENYLALANINE-AMMONIA-LYASE-RXN // RXN-9336 // RXN-9337 // RXN-9338 // RXN-9339 // RXN-9340 // RXN-9341 // RXN-9342
PWY-7016	RXN-13205 // RXN-13176 // RXN-13177 // RXN-13174 // RXN-13175
PWY-7661	RXN-19208 // TRANS-RXN-275 // TRANS-RXN-274 // RXN-16602 // RXN-16601 // RXN-16595 // RXN-16596 // RXN-16597 // RXN-16598 // RXN-16599 // RXN-16600
PWY-6167	DIOHBUTANONEPSYN-RXN // FADSYN-RXN // RXN-9296 // RIBOFLAVIN-SYN-RXN // LUMAZINESYN-RXN // RXN-10055 // RXN-10056 // RXN-10057 // RXN-10058 // RIBOPHOSPHAT-RXN
PWY-6388	SS-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-7614	RXN-16203 // RXN-16202 // RXN-16201 // RXN-16199 // RXN-16176 // RXN-8908 // RXN-8899
PWY-5633	RXN-8812 // RXN-8811 // RXN-8810
PWY-7760	RXN-18420 // RXN-18418 // RXN-18416 // RXN-18414 // RXN-17491 // RXN-5286 // RXN-17465 // RXN-17466 // RXN-17467 // RXN-17468 // RXN-17463 // RXN-17462 // RXN-17461 // RXN-17460 // RXN-17459 // RXN-17458 // RXN-17457 // RXN-17456 // RXN-17445 // RXN-17444 // RXN-17443 // RXN-17441 // RXN-17436 // RXN-17435 // RXN-17434 // RXN-17433 // RXN-17432 // RXN-17431 // RXN-17430 // RXN-17429
PWY-7466	RXN-8632 // RXN-8630
NADSYN-PWY	RXN-5721 // QUINOPRIBOTRANS-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN // RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN
PWY-7886	RXN-18687 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN
PWY-7578	RXN-17523 // RXN-15988 // RXN-15986 // 1.3.7.5-RXN
PWY-5629	1.21.3.1-RXN // 6.3.2.26-RXN
