Pathways	Common-Name
PWY-7581	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II
PWY-4722	creatinine degradation II
PWY-4041	&gamma;-glutamyl cycle
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-7224	purine deoxyribonucleosides salvage
PWY-8481	thienamycin biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-7542	fumiquinazoline D biosynthesis
PWY-8373	erythritol biosynthesis II
PWY-7849	urate conversion to allantoin III
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-5913	partial TCA cycle (obligate autotrophs)
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV
BGALACT-PWY	lactose degradation III
DARABCATK12-PWY	D-arabinose degradation II
PWY-5422	isopimaric acid biosynthesis
PWY-8174	odd <i>iso</i>-branched-chain fatty acid biosynthesis
PWYDQC-4	indole-3-acetate biosynthesis I
PWY-8235	<i>Escherichia coli</i> serotype O:21/<i>Salmonella enterica</i> serotype O:38 O antigen biosynthesis
PWY-5319	coumarin metabolism (to melilotic acid)
PWY-7531	mannojirimycin biosynthesis
PWY-4984	urea cycle
PWY-5489	methyl parathion degradation
PWY-31	L-canavanine degradation I
PWY-7669	equisetin biosynthesis
PWY-4421	curcumin glucoside biosynthesis
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)
PWY-5741	ethylmalonyl-CoA pathway
PWY-7460	2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis
PWY-6602	naringenin <i>C</i>-glucosylation
PWY-699	brassinolide biosynthesis I
PWY-6068	indican biosynthesis
PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals)
PWY-3502	superpathway of NAD biosynthesis in eukaryotes
PWY-7066	glycyrrhetinate biosynthesis
PWY-8036	chaxamycin biosynthesis
PWY-7939	chlorobactene biosynthesis
PWY-7635	kievitone detoxification
PWY-8198	<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis
PWY2S1Y-3	agmatine degradation
PWY-5143	long-chain fatty acid activation
PWY-5917	phycocyanobilin biosynthesis
PWY-7294	D-xylose degradation IV
PWY-7882	IM-2 type &gamma;-butyrolactones biosynthesis
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)
PWY-1164	carbon disulfide oxidation I (anaerobic)
PWY-8444	L-fucose degradation II
PWY-6448	hordatine biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer
PWY-5324	L-lysine degradation IX
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY0-1546	muropeptide degradation
PWY-5273	<i>p</i>-cumate degradation
PWY-5140	cannabinoid biosynthesis
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
PWY-8239	cholesterol biosynthesis (diatoms)
PWY-7399	methylphosphonate degradation II
PWY-6473	4-aminobutanoate degradation IV
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis
PWY-5632	cephalosporin C biosynthesis
PWY3O-19	ubiquinol-6 biosynthesis (late decarboxylation)
PWY-6515	phloridzin biosynthesis
PWY-8291	L-aspartate degradation II (aerobic)
PWY-8275	pyruvate decarboxylation to acetyl CoA III
PWY8J2-1	bacillithiol biosynthesis
PWY-8463	5,6-dehydrokavain biosynthesis (engineered)
PWY-7794	polyethylene terephthalate degradation
PWY-5398	crocetin esters biosynthesis
PWY-5375	&alpha;-eleostearate biosynthesis
PROPFERM-PWY	superpathway of L-alanine fermentation (Stickland reaction)
PWY-8178	pentose phosphate pathway (non-oxidative branch) II
PWY-5033	nicotinate degradation II
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer
PWY-7955	paerucumarin biosynthesis
LACTOSECAT-PWY	lactose degradation I
PWY-2622	trehalose biosynthesis IV
PWY-7996	menaquinol-4 biosynthesis I
PWY-8183	L-valine degradation III (oxidative Stickland reaction)
LEU-DEG2-PWY	L-leucine degradation I
PWY-7913	firefly bioluminescence
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)
PWY-8185	L-leucine degradation V (oxidative Stickland reaction)
PWY18C3-3	&alpha;-tomatine biosynthesis
ARGSPECAT-PWY	spermine biosynthesis
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-8081	leucine-derived hydroxynitrile glucoside biosynthesis
PWY-5350	thiosulfate disproportionation IV (rhodanese)
PWY-7909	formaldehyde oxidation VII (THF pathway)
PWY-4781	phytate degradation II
PWY-6964	ammonia assimilation cycle II
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
PWY-6406	salicylate biosynthesis I
PWY-8484	fimsbactin A biosynthesis
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-6293	superpathway of L-cysteine biosynthesis (fungi)
PWY-8210	pyrrolomycin biosynthesis
MANNIDEG-PWY	mannitol degradation I
PWY1YI0-8	succinate to cytochrome <i>bo</i> quinol oxidase (cyanobacteria, cytoplamic membrane)
PWY-5045	pinosylvin metabolism
PWY-8477	cyclopamine biosynthesis
PWY-7369	thiamine triphosphate metabolism
PWY-6176	superpathway of Allium flavor precursors
PWY-7283	wybutosine biosynthesis
PROUT-PWY	L-proline degradation I
PWY-8096	5-methoxybenzimidazole biosynthesis (anaerobic)
PWY-8184	L-isoleucine degradation III (oxidative Stickland reaction)
PWY3DJ-11281	sphingomyelin metabolism
PWY-3941	&beta;-alanine biosynthesis II
PWY-743	thiocyanate degradation II
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7945	2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis
PWY-321	cutin biosynthesis
PWY-7437	protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation
PWY-7733	3-hydroxyquinaldate biosynthesis
PWY-5923	limonene degradation I (D-limonene)
PWY-46	putrescine biosynthesis III
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I
PWY-7997	demethylmenaquinol-4 biosynthesis
PWY-6684	aromatic  glucosinolate activation
PWY-8244	<i>Escherichia coli</i> serotype O:177 O antigen biosynthesis
PWY-5907	homospermidine biosynthesis I
PWY-7662	glycogen degradation III (via anhydrofructose)
PWY-6585	2-methylketone biosynthesis
PWY18C3-15	acylsucrose biosynthesis (<i>Solanum pennellii</i>)
PWY-7864	8-methylmenaquinone biosynthesis
PWY-7843	heme degradation IV
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis
PWY-7573	GDP-mycosamine biosynthesis
PWY-6411	ginsenoside degradation I
PWY-8197	<i>Salmonella enterica</i> serotype O:9,46 O antigen biosynthesis
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis
PWY-1962	indole-3-acetate inactivation II
PWY-2942	L-lysine biosynthesis III
PWY-7173	quercetin triglucoside biosynthesis
PWY-7382	lipoate biosynthesis and incorporation IV (yeast)
PWY-7688	dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis
AST-PWY	L-arginine degradation II (AST pathway)
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
PWY-7898	4,4'-disulfanediyldibutanoate degradation
PWY0-43	conversion of succinate to propanoate
PWY-7774	propane degradation I
PWY-6901	superpathway of glucose and xylose degradation
PWY-5088	L-glutamate degradation VIII (to propanoate)
PWY-1422	vitamin E biosynthesis (tocopherols)
PWY-5871	ubiquinol-9 biosynthesis (late decarboxylation)
PWY-762	phospholipid desaturation
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-8188	L-alanine degradation VI (reductive Stickland reaction)
PWY2OBG-1	methyl-coenzyme M oxidation to CO<sub>2</sub> II
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-7549	asperlicin E biosynthesis
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)
PWY-8214	3-sulfopropanediol degradation II
PWY-5365	linear furanocoumarin biosynthesis
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I
PWY-5195	artemisinin and arteannuin B biosynthesis
PWY0-1584	<i>sn</i>-glycerol 3-phosphate anaerobic respiration
PWY-8349	sulfoquinovose degradation V
PWY-7527	L-methionine salvage cycle III
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)
PWY-8273	UDP-3-acetamido-2-amino-2,3-dideoxy-&alpha;-D-glucopyranose biosynthesis
ARO-PWY	chorismate biosynthesis I
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I
PWY-5658	mannosylglycerate biosynthesis II
P122-PWY	heterolactic fermentation
PWY-7175	nostoxanthin biosynthesis
PWY-7018	paromomycin biosynthesis
PWY-6938	NADH repair (eukaryotes)
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7853	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)
PWY-7841	neolacto-series glycosphingolipids biosynthesis
PWY-6224	salicylate degradation II
PWY-6165	chorismate biosynthesis II (archaea)
PWY-5883	ephedrine biosynthesis
PWY-7016	neomycin biosynthesis
PWY-7661	protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)
PWY-6167	flavin biosynthesis II (archaea)
PWY-6388	(S,S)-butanediol degradation
PWY-7614	methiin metabolism
PWY-5633	cephamycin C biosynthesis
PWY-7760	bacteriochlorophyll <i>e</i> biosynthesis
PWY-7466	acetone degradation III (to propane-1,2-diol)
NADSYN-PWY	NAD <i>de novo</i> biosynthesis II (from tryptophan)
PWY-7886	cell-surface glycoconjugate-linked phosphocholine biosynthesis
PWY-7578	phycoviolobilin biosynthesis
PWY-5629	isopenicillin N biosynthesis
PWY-6091	1,2,4-trichlorobenzene degradation
PWY-5958	acridone alkaloid biosynthesis
PWY-6029	2,3-<i>trans</i>-flavanols biosynthesis
PWY-7736	stellatic acid biosynthesis
PWY-4621-1	arsenic detoxification VI (<i>E. coli</i>)
PWY-3581	(<i>S</i>)-reticuline biosynthesis I
TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)
PWY-6103	3-chlorotoluene degradation I
PWY-7138	noscapine biosynthesis
PWY-8125	mevalonate pathway IV (archaea)
PWY-3	putrescine degradation V
PWY-8287	carbofuran degradation II
PWY-6558	heparan sulfate biosynthesis
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-8284-1	Kdo transfer to lipid IV<sub>A</sub> (<i>Vibrio cholerae</i> serogroup O1 El Tor)
PWY-5037	caffeine biosynthesis I
PWY-8038	naphthomycin biosynthesis
PWY-7931	brominated pyrroles biosynthesis
PWY-5768	pyruvate fermentation to acetate VIII
P203-PWY	sulfur disproportionation I (anaerobic)
PWY-7177	UTP and CTP dephosphorylation II
PWY-8497	3-amino-6-hydroxy-2-piperidone biosynthesis
PWY-5437	L-threonine degradation I
PWY-6181	histamine degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
PWY-6258	patchoulol biosynthesis
PWY-6896	thiamine diphosphate salvage I
HYDROXYPRODEG-PWY	<i>trans</i>-4-hydroxy-L-proline degradation I
PWY-7673	fusarin C biosynthesis
PWY-6666	pyocyanin biosynthesis
PWY-8380	dTDP-sibirosamine biosynthesis
PWY-7529	CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II
PWY-7934	polybrominated dihydroxylated diphenyl ethers biosynthesis
PWY-3301	sinapate ester biosynthesis
PWY-7179-1	purine deoxyribonucleosides degradation II
PWY2O6K-4	NADH to nitrate electron transfer
PWY-7156	superpathway of ergosterol biosynthesis II
PWY-3121	linamarin degradation
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-741	<I>p</I>-cymene degradation to <I>p</I>-cumate
PWY-8395	linoleate metabolites biosynthesis
PWY-7512	3,5,6-trichloro-2-pyridinol degradation
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-7024	superpathway of the 3-hydroxypropanoate cycle
PWY-5405	superpathway of betalain biosynthesis
PWY-7887	protein SAMPylation and SAMP-mediated thiolation
PWY-8515	ZsYellow-type yellow fluorescent protein chromophore biosynthesis
PWY-6509	methanol oxidation to formaldehyde III
PWY-8037	saliniketal A biosynthesis
PWY-861	dhurrin biosynthesis
PWY-2541	phytosterol biosynthesis (plants)
PWY-5199	factor 420 polyglutamylation
PWY-6041	4-sulfocatechol degradation
PWY-7058	esculetin modification
PWY-8354	adipate degradation
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer
PWY-7137	quercetin gentiotetraside biosynthesis
PWY-5286	anthocyanidin sophoroside metabolism
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-7923	archaeosine biosynthesis II
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)
PWY-6094	3,4,6-trichlorocatechol degradation
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-7306	estradiol biosynthesis II
PWY18C3-11	tetraacylsucrose biosynthesis (<i>Solanum</i>)
ASPARTATE-DEG1-PWY	L-aspartate degradation I
PWY1G-126	mycothiol oxidation
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation
PHOTOALL-PWY	oxygenic photosynthesis
PWY-7080	asterrate biosynthesis
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion
PWY-8211	<i>Escherichia coli</i> serotype O:7 O antigen biosynthesis
PWY-8442	hyperxanthone E biosynthesis
PWY2B4Q-4	lipid IV<sub>A</sub> biosynthesis (2,3-diamino-2,3-dideoxy-D-glucopyranose-containing)
FUCCAT-PWY	L-fucose degradation I
DARABITOLUTIL-PWY	D-arabinitol degradation I
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
PWY-7097	vanillin and vanillate degradation I
PWY-8071	<i>N</i>-3-oxalyl-L-2,3-diaminopropanoate biosynthesis
PWY-8077	ginkgotoxin biosynthesis
PWY-5431	aromatic compounds degradation via 3-oxoadipate
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
PWY-5726	deethylsimazine degradation
LYXMET-PWY	L-lyxose degradation
PWY-8464	sphingofungin B-D biosynthesis
PWY-5156	superpathway of fatty acid biosynthesis II (plant)
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
PWY-5129	sphingolipid biosynthesis (plants)
PWY-8294	L-aspartate degradation III (anaerobic)
PWY-6532	diphenylamine degradation
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I
PWY-5659	GDP-mannose biosynthesis
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-881	trehalose biosynthesis II
PWY-4221	superpathway of coenzyme A biosynthesis II (plants)
PWY-5194	siroheme biosynthesis
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
PUTDEG-PWY	putrescine degradation I
PWY-6257	curcumene biosynthesis
PWY-5940	streptomycin biosynthesis
PWY-6748	nitrate reduction VII (denitrification)
PWY-7928	lactate racemase nickel cofactor biosynthesis
PWY-5662	glucosylglycerate biosynthesis I
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
P482-PWY	arsonoacetate degradation
PWY-5316	nicotine biosynthesis
PWY-8267	methylarsonous acid detoxification I
PWY-5049	rosmarinic acid biosynthesis II
PWY-5177	glutaryl-CoA degradation
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis
PWY-4081	glutathione-peroxide redox reactions
PWY-7718	actinomycin D biosynthesis
PWY-8519	(19<i>E</i>)-geissoschizine biosynthesis
PWY-7710	FeMo cofactor biosynthesis
PWY-5373	calendate biosynthesis
PWY-7248	pectin degradation II
PWY-6603	dicranin biosynthesis
PWY-7972	adenosylcobinamide-GDP salvage from cobinamide II
PWY-7969	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-8342	coenzyme A biosynthesis III (archaea)
PWY-8337	&gamma;-butyrobetaine degradation I
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis
PWY-8172	10-methylstearate biosynthesis
PWY-7856	heme <i>a</i> biosynthesis
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
PWY-8092	D-apionate degradation III (RLP transcarboxylase/hydrolase)
PWY-5039	theobromine biosynthesis I
PWY-3841	folate transformations II (plants)
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast
PWY-8270	cyclic electron flow
PWY-6760	D-xylose degradation III
PWY-8480	oxidative Ljungdahl-Wood pathway
PWY-5950	geosmin biosynthesis
PWY-5169	cyanuric acid degradation II
PWY-6084	3,5-dichlorocatechol degradation
PWY-6326	camptothecin biosynthesis
PWY-5934	iron reduction and absorption
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
PWY-6767	4,4'-diapolycopenedioate biosynthesis
PWY-7152	pinolenate and coniferonate biosynthesis
GLUTSYNIII-PWY	L-glutamate biosynthesis III
PWY66-420	carnosine biosynthesis
PWY-8195	<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-5411	abietic acid biosynthesis
PWY0-1527	curcumin degradation
PWY-6529	chlorate reduction
PWY-7522	(<i>R</i>)-canadine biosynthesis
P321-PWY	benzoyl-CoA degradation III (anaerobic)
PWY-5419	catechol degradation to 2-hydroxypentadienoate II
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation
PWY-7638	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)
PWY-7686	L-malate degradation II
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY3O-450	phosphatidylcholine biosynthesis I
PWY-6594	superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis
PWY-5335	superpathway of sulfide oxidation (<i>Starkeya novella</i>)
PWY-7691	10,13-epoxy-11-methyl-octadecadienoate biosynthesis
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation
PWY-8151	cholesterol degradation to androstenedione III (anaerobic)
CARNMET-PWY	L-carnitine degradation I
PWY-8345	malbrancheamide biosynthesis
PWY-6323	benzoylanthranilate biosynthesis
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)
PWY-6010	apigenin glycosides biosynthesis
PWY-5080	very long chain fatty acid biosynthesis I
PWY-7698	2,5-xylenol and 3,5-xylenol degradation
PWY-7076	3,5-dimethoxytoluene biosynthesis
PWY-2601	isethionate degradation
PWY-5097	L-lysine biosynthesis VI
PWY-6466	pyridoxal 5'-phosphate biosynthesis II
PWY-6555	superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)
PWY-5537	pyruvate fermentation to acetate V
PWY-7900	glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)
PWY5F9-3233	phthalate degradation (aerobic)
PWY-8499	oxetanocin A biosynthesis
PWY-3641	L-carnitine degradation II
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis
PWY-5337	stachyose biosynthesis
PWY-6941	styrene degradation
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV
PWY-7911	6'-dechloromelleolide F biosynthesis
PWY-6111	mitochondrial L-carnitine shuttle
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)
PWY-7741	phthiocerol biosynthesis
PWY-5162	2-hydroxypenta-2,4-dienoate degradation
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-3801	sucrose degradation II (sucrose synthase)
PWY-7809	superpathway of tetracycline and oxytetracycline biosynthesis
PWY-6691	plaunotol biosynthesis
PWY-7983	pseudomonine biosynthesis
PWY-6449	fenchone biosynthesis
PWY-6313	serotonin degradation
PWY-6340	5,5'-dehydrodivanillate degradation
ORNDEG-PWY	superpathway of ornithine degradation
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)
PWY-8408	erinacine biosynthesis
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis
PWY-5207	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
PWY-5380	A series fagopyritols biosynthesis
PWY-6543	4-aminobenzoate biosynthesis I
PWY-6502	8-oxo-(d)GTP detoxification I
PWY-6305	superpathway of putrescine biosynthesis
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-7009	2,2'-dihydroxybiphenyl degradation
PWY-801	homocysteine and cysteine interconversion
PWY-6626	cytidine-5'-diphosphate-glycerol biosynthesis
PWY-6957	mandelate degradation to acetyl-CoA
PWY-7690	holomycin biosynthesis
PWY-8095	5-methoxy-6-methylbenzimidazole biosynthesis (anaerobic)
PWY-8161	D-phenylglycine degradation
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-5872	ubiquinol-10 biosynthesis (late decarboxylation)
PWY-5198	factor 420 biosynthesis II (mycobacteria)
PWY-6024	isovitexin glycosides biosynthesis
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)
PWY-8388	aspoquinolone biosynthesis
PWY-5750	itaconate biosynthesis I
PWY-8517	Kaede-type red fluorescent protein chromophore biosynthesis
ASPARAGINESYN-PWY	L-asparagine biosynthesis II
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
PWY-7533	gliotoxin biosynthesis
PWY-6334	L-dopa degradation I (mammalian)
HISHP-PWY	L-histidine degradation VI
PWY-7910	homofuraneol biosynthesis
PWY-7773	&gamma;-resorcylate degradation I
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)
PWY-3041	monoterpene biosynthesis
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation
PWY-761	rhizobactin 1021 biosynthesis
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)
PWY-6144	CMP-<i>N</i>-glycoloylneuraminate biosynthesis
PWY-6200	2,4,5-trichlorophenoxyacetate degradation
PWY-7665	aureobasidin A biosynthesis
PWY66-378	androgen biosynthesis
PWY-8454	aspartame degradation
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)
LIPASYN-PWY	phospholipases
PWY-8347	adipate biosynthesis
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
PWY-8116	ochratoxin A biosynthesis
PWY-8394	ribitol degradation II
PWY-8243	colanic acid (<i>Escherichia coli</i> K12) biosynthesis
PWY-6069	indigo biosynthesis
PWY-5086	chlorophyll <i>a</i> biosynthesis I
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)
PWY-6455	vancomycin resistance II
PWY-6841	homophytochelatin biosynthesis
PWY-8053	anandamide biosynthesis II
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)
1CMET2-PWY	folate transformations III (<i>E. coli</i>)
LACTOSEUTIL-PWY	lactose degradation II
PWY-6012-1	acyl carrier protein activation
PWY-7888	tRNA-uridine<sup>34</sup> modifications (eukaryotic cytoplasm)
PWY-5135	xanthohumol biosynthesis
PWY-7145	genistin gentiobioside biosynthesis
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I
PWY-5774	saponin biosynthesis IV
FERMENTATION-PWY	mixed acid fermentation
PWY-7959	12-<i>epi</i>-hapalindole biosynthesis
PWY66-423	fructose 2,6-bisphosphate biosynthesis
GLUGLNSYN-PWY	L-glutamate biosynthesis IV
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-6744	hydrogen production I
PWY-6766	salicin biosynthesis
PWY-8292	trimethylamine <i>N</i>-oxide biosynthesis
PWY-7866	coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent)
PWY-7641	5-hexynoate biosynthesis
PWY-8266	arsenite methylation (bacterial)
PWY66-421	homocarnosine biosynthesis
PWY-8263	arsenate detoxification III
METHGLYUT-PWY	superpathway of methylglyoxal degradation
PWY66-301	catecholamine biosynthesis
PWY-8222	<i>Escherichia coli</i> serotype O:128 O antigen biosynthesis
PWY-7410	ipsdienol biosynthesis
PWY-6733	sporopollenin precursors biosynthesis
PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)
PWY-6324	rebeccamycin biosynthesis
PWY-7652	echinocandin B modifications
PWY-8031	epiberberine biosynthesis
PWY-7949	diadinoxanthin and diatoxanthin interconversion
PWY0-1312	acetate and ATP formation from acetyl-CoA I
PWY-6954	superpathway of aromatic compound degradation via 2-hydroxypentadienoate
PWY-8450	pyruvate-derived opine biosynthesis I (bacteria)
PWY-7697	geranyl &beta;-primeveroside biosynthesis
PWY-7603	stephacidin A biosynthesis
PWY-7093	vicianin bioactivation
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer
PWY-6631	tricetin methylation
LPSSYN-PWY	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)
PWY-681	dibenzothiophene desulfurization
PWY66-429	fatty acid biosynthesis initiation (mitochondria)
PWY-7305	superpathway of steroid hormone biosynthesis
QUINATEDEG-PWY	quinate degradation I
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)
GLYCOCAT-PWY	glycogen degradation I
THREONINE-DEG2-PWY	L-threonine degradation II
PWY-8404	glycolysis VI (from fructose)
P121-PWY	adenine and adenosine salvage I
PWY-6133	(S)-reticuline biosynthesis II
PWY-6991	(-)-camphor biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis
PWY-5963	molybdenum cofactor sulfulylation (eukaryotes)
PWY2DNV-1	Kdo transfer to lipid IV<sub>A</sub> (<i>H. pylori</i>)
PWY-6694	oxalate degradation I
PWY-8080	kainate biosynthesis
PWY-6577	farnesylcysteine salvage pathway
PWY-7478	oryzalexin D and E biosynthesis
PWY-5740	GDP-L-colitose biosynthesis
PWY-8120	&beta;-alanine degradation III
PWY-7683	nitrite reduction (hemoglobin)
PWY-8414	glycerol dibiphytanyl glycerol tetraether lipid biosynthesis
PWY-6288	zeaxanthin-&beta;-D-diglucoside biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis
PWY3O-1801	palmitoleate biosynthesis IV (fungi and animals)
PWY-5976	dhurrin degradation
PWY-7422	methymycin, neomethymycin and novamethymycin biosynthesis
PWY-7235	superpathway of ubiquinol-6 biosynthesis (late decarboxylation)
PWY-5	canavanine biosynthesis
PWY-5258	methanogenesis from dimethylsulfide
